timestamp,hours_from_start,station,pipeline,linepack_pressure_kg_cm2,gas_flow_mmscmd,segment_demand_mmscmd,net_balance_mmscmd,ambient_temp_c,siemens_gt_exhaust_temp_c
2026-09-20 06:00:00,0,Chhainsa_CS,HVJ_Trunkline,83.72,47.95,45.94,2.01,27.0,536.2
2026-09-20 07:00:00,1,Chhainsa_CS,HVJ_Trunkline,83.49,47.96,46.9,1.06,28.2,535.9
2026-09-20 08:00:00,2,Chhainsa_CS,HVJ_Trunkline,83.55,47.92,47.58,0.34,29.2,536.6
2026-09-20 09:00:00,3,Chhainsa_CS,HVJ_Trunkline,83.88,48.07,48.35,-0.28,31.4,538.8
2026-09-20 10:00:00,4,Chhainsa_CS,HVJ_Trunkline,83.54,48.03,49.31,-1.28,32.8,539.4
2026-09-20 11:00:00,5,Chhainsa_CS,HVJ_Trunkline,83.72,48.07,49.54,-1.47,33.9,540.0
2026-09-20 12:00:00,6,Chhainsa_CS,HVJ_Trunkline,83.51,47.97,50.47,-2.5,34.2,540.9
2026-09-20 13:00:00,7,Chhainsa_CS,HVJ_Trunkline,83.26,47.91,50.46,-2.55,36.0,541.5
2026-09-20 14:00:00,8,Chhainsa_CS,HVJ_Trunkline,82.85,47.93,51.39,-3.47,35.6,538.6
2026-09-20 15:00:00,9,Chhainsa_CS,HVJ_Trunkline,82.12,48.23,51.23,-3.0,36.1,540.7
2026-09-20 16:00:00,10,Chhainsa_CS,HVJ_Trunkline,81.02,47.55,51.14,-3.6,36.4,540.8
2026-09-20 17:00:00,11,Chhainsa_CS,HVJ_Trunkline,81.03,47.73,50.4,-2.67,36.0,540.0
2026-09-20 18:00:00,12,Chhainsa_CS,HVJ_Trunkline,80.98,47.63,50.21,-2.58,35.0,540.6
2026-09-20 19:00:00,13,Chhainsa_CS,HVJ_Trunkline,80.78,47.97,49.01,-1.04,33.5,541.5
2026-09-20 20:00:00,14,Chhainsa_CS,HVJ_Trunkline,80.92,48.25,48.55,-0.31,32.6,540.6
2026-09-20 21:00:00,15,Chhainsa_CS,HVJ_Trunkline,81.07,48.19,47.79,0.4,30.8,537.1
2026-09-20 22:00:00,16,Chhainsa_CS,HVJ_Trunkline,81.05,47.78,46.69,1.09,29.4,536.7
2026-09-20 23:00:00,17,Chhainsa_CS,HVJ_Trunkline,81.83,47.92,46.3,1.62,28.5,536.7
2026-09-21 00:00:00,18,Chhainsa_CS,HVJ_Trunkline,82.2,47.67,45.3,2.37,26.9,534.1
